Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,100,1046,986,1257,61.43,0.000%,49.43154,222.97,26.12,4619.0
https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,100,254,245,260,3.46,0.000%,95.32888,382.06,55.48,4104.0
https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,100,255,247,263,3.31,0.000%,94.60738,430.91,55.06,4664.0
https://petstore.octoperf.com/actions/Order.action?newOrderForm=,200,3148,247,41108,6449.21,0.000%,1.87596,9.04,1.06,4935.0
https://petstore.octoperf.com/actions/Account.action,100,11121,1086,76657,17535.28,0.000%,1.30281,6.91,1.89,5432.0
https://petstore.octoperf.com/actions/Cart.action?viewCart=,100,9540,335,74735,14089.56,0.000%,1.26236,6.00,0.70,4865.0
https://petstore.octoperf.com/actions/Order.action,100,4966,247,39399,7641.92,0.000%,1.26205,5.95,1.52,4824.0
https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,100,3256,248,25599,5694.38,0.000%,1.26678,6.83,0.73,5520.0
https://petstore.octoperf.com/actions/Account.action?signoff=,100,2076,499,18426,3879.09,0.000%,1.26709,6.53,1.41,5278.0
Test,100,38815,9263,83506,16015.94,0.000%,.68958,33.12,5.32,49176.1
TOTAL,1100,7057,245,83506,14095.98,0.000%,7.58542,66.23,10.63,8941.1
